symbol,order,aic,rmse
AAPL,"(1, 0, 0)",-13862.160368385476,0.015808705518363487
TSLA,"(0, 0, 0)",-10139.913426750254,0.0289332700677619
SPY,"(4, 0, 5)",-16547.85354667292,0.0052191703652961115
