Ticker,ARIMA_Order,ARIMA_AIC,ARIMA_RMSE,GARCH_RMSE,GARCH_Alpha,GARCH_Beta,LSTM_RMSE,Transformer_RMSE,Hybrid_RMSE,w_GARCH,w_LSTM,w_Transformer
SPY,"(4, 0, 5)",-16547.85354667292,0.0052191703652961115,0.26835049466608407,0.16676730662150416,0.8038500451698307,0.0015557019568158115,0.005271558191093411,0.0050241105940126525,0.0049,1.0834,-0.0883
AAPL,"(1, 0, 0)",-13862.160368385476,0.015808705518363487,0.3670989752845087,0.09785991044697699,0.8553591183011662,0.0018724181731800693,0.007582804620868158,0.007653967205541009,0.0042,1.155,-0.1593
TSLA,"(0, 0, 0)",-10139.913426750254,0.0289332700677619,0.6559434907757926,0.03376487354896929,0.9590316804404606,0.003303235994312768,0.012579453450633795,0.01139906690934266,0.0026,1.1296,-0.1322
