symbol,alpha,beta,rmse
AAPL,0.09785991044697699,0.8553591183011662,0.3670989752845087
TSLA,0.03376487354896929,0.9590316804404606,0.6559434907757926
SPY,0.16676730662150416,0.8038500451698307,0.26835049466608407
